Publication Years	records	% of 1934
1991	14	0.724
1992	8	0.414
1993	17	0.879
1994	14	0.724
1995	25	1.293
1996	15	0.776
1997	23	1.189
1998	20	1.034
1999	20	1.034
2000	36	1.861
2001	49	2.534
2002	43	2.223
2003	54	2.792
2004	65	3.361
2005	70	3.619
2006	68	3.516
2007	76	3.930
2008	66	3.413
2009	109	5.636
2010	102	5.274
2011	118	6.101
2012	137	7.084
2013	137	7.084
2014	150	7.756
2015	171	8.842
2016	192	9.928
2017	132	6.825
