Publication Years	records	% of 3873
1982	2	0.052
1983	2	0.052
1989	5	0.129
1990	4	0.103
1991	42	1.084
1992	63	1.627
1993	83	2.143
1994	92	2.375
1995	71	1.833
1996	77	1.988
1997	101	2.608
1998	95	2.453
1999	123	3.176
2000	113	2.918
2001	99	2.556
2002	141	3.641
2003	152	3.925
2004	168	4.338
2005	161	4.157
2006	167	4.312
2007	161	4.157
2008	173	4.467
2009	173	4.467
2010	190	4.906
2011	201	5.190
2012	199	5.138
2013	192	4.957
2014	219	5.655
2015	217	5.603
2016	240	6.197
2017	137	3.537
