Publication Years	records	% of 8784
1989	3	0.034
1990	11	0.125
1991	47	0.535
1992	56	0.638
1993	72	0.820
1994	80	0.911
1995	113	1.286
1996	114	1.298
1997	137	1.560
1998	153	1.742
1999	154	1.753
2000	189	2.152
2001	218	2.482
2002	219	2.493
2003	276	3.142
2004	308	3.506
2005	332	3.780
2006	346	3.939
2007	422	4.804
2008	425	4.838
2009	463	5.271
2010	482	5.487
2011	491	5.590
2012	557	6.341
2013	600	6.831
2014	643	7.320
2015	657	7.480
2016	737	8.390
2017	472	5.373
