# Test file created: 2019-03-08 14:45:27
# Headers: 
#X	Y	Ye
0.015	0.9924654246026016	0.002070012119373745
0.016	1.006066293128606	0.002058356555308544
0.017	1.0015645049506854	0.002032868950415785
0.018	0.9946149376283713	0.0020089982088944665
0.019	1.0018242713349241	0.002002686417511317
0.02	1.009665838774789	0.001999644528260257
0.021	1.0068778241864769	0.0019882698466096222
0.022	0.7386021969764501	0.0016970900998899247
0.023	0.32179796190588905	0.001117164253595653
0.024	0.19078248007239834	8.583707960952222E-4
0.025	0.13176374183890993	7.121680478584017E-4
0.026	0.0972514644555961	6.110342451494388E-4
0.027	0.0751852909123217	5.367025213003232E-4
0.028	0.05887318043272635	4.7453031751283685E-4
0.029	0.04813807241154498	4.2879597995009594E-4
0.03	0.03905235737855611	3.8598860828913866E-4
0.031	0.03220841885832439	3.2157331941133383E-4
0.032	0.027151042220660112	2.9572152409015694E-4
0.033	0.022983749025947357	2.7883899295042284E-4
0.034	0.02045307673343075	2.5278351783376607E-4
0.035	0.016823720309199118	2.3811388765225674E-4
0.036	0.01493990626848334	2.1107392081782703E-4
0.037	0.012932068073584779	1.9631000033026757E-4
0.038	0.011756682944928246	1.85491674099655E-4
0.039	0.010176792088992132	3.801223646857128E-5
0.04	0.00909209712152037	2.477681354745169E-5
0.04	0.009092097121520386	1.7572665041295624E-5
0.045	0.005378074558453738	1.3388854145423147E-5
0.05	0.0033420843083432116	1.0474775167147924E-5
0.055	0.002246356912305946	8.534200664371761E-6
0.06	0.0015457289783827597	7.043040494214901E-6
0.065	0.0011328171701324662	4.913571163019523E-6
0.07	7.759649043649147E-4	3.8689229339699675E-6
0.075	6.308808815592541E-4	3.452552037555908E-6
0.08	4.7875184136099316E-4	3.032144368162993E-6
0.08	4.787518413609935E-4	2.690649227189076E-6
0.085	3.8256484909881476E-4	2.4183339059261834E-6
0.09	2.9594923468398513E-4	1.099323420319052E-6
0.095	2.3379923788316426E-4	5.861891374908161E-7
0.1	1.8103733443591198E-4	3.540747208934614E-7
0.11	1.1800543708727395E-4	2.840830599551835E-7
0.12	7.704074989572265E-5	2.2834680562121138E-7
0.13	5.0422257346887465E-5	1.8400699230231298E-7
0.14	3.282311839488775E-5	1.4801111352623703E-7
0.15	2.1047331290374938E-5	1.1816992231533197E-7
0.16	1.360206872851604E-5	9.488856314539497E-8
0.17	8.269676725469117E-6	5.760491296857056E-8
0.18	5.0123597321253165E-6	3.215925459639077E-8
0.18	5.012359732125304E-6	1.6945617763662067E-8
0.19	2.603664414819147E-6	9.489276004280757E-9
0.2	1.238053213694907E-6	4.6520312737425685E-9
0.21	5.517336727879607E-7	3.0973298088953155E-9
0.22	2.9040186817413484E-7	2.2385909153495614E-9
0.23	2.8605093643735493E-7	2.21866029999327E-9
0.24	4.0663859351439546E-7	2.6443826764983115E-9
0.25	5.767819924774799E-7	3.1479002454706786E-9
0.26	7.523925153947911E-7	3.5942913926096487E-9
0.27	8.797863509907492E-7	3.8890015222045086E-9
0.28	9.575398843056122E-7	4.0618684299223575E-9
0.29	9.973847006117972E-7	4.1467538726872605E-9
0.3	1.0145107547117646E-6	4.1246001913414535E-9
0.31	9.80323895902211E-7	3.957959089801241E-9
0.32	9.008430080918195E-7	1.326601245784033E-9
0.32	9.0084300809182E-7	1.2391740326909314E-9
0.34	7.003578300668663E-7	1.0835927649386602E-9
0.36	4.890339323411291E-7	9.050191147451698E-10
0.38	3.120165238087192E-7	7.203294617340158E-10
0.4	1.7613677413842973E-7	5.395725239316332E-10
0.42	8.77104338596345E-8	3.8132872274598E-10
0.44	3.766101137990065E-8	2.5153743560824663E-10
0.46	1.4645220662724422E-8	1.575592392071841E-10
0.48	5.849172841198519E-9	1.0027518714351592E-10
0.5	3.610660864102932E-9	7.914408519099901E-11
0.52	4.779934772500251E-9	9.158120057886697E-11
0.54	5.316651545996526E-9	9.720193866652506E-11
0.56	4.87181065769982E-9	9.354661461032402E-11
0.58	4.530016799303503E-9	9.099029145787468E-11
0.6	3.1523773666574693E-9	7.621901585981722E-11
0.62	2.8997739372163945E-9	7.358288915347186E-11
0.64	3.044954763506949E-9	7.571505055973752E-11
0.66	2.0025521939517664E-9	6.222642648725172E-11
0.68	1.5041985265868823E-9	5.4187554194011386E-11
0.7	1.6218868120528569E-9	5.6244971268536675E-11
